Date;Source;Target;Label
2024-01-01;POPULATION;ISRAEL;042
2024-01-01;PRESIDENT;ISRAEL;051
2024-01-01;PRESIDENT;ISRAEL;0841
2024-01-01;PRESIDENT;ISRAEL;0841
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;MINISTRY;PALESTINE;180
2024-01-01;MINISTRY;PALESTINE;180
2024-01-01;MINISTRY;PALESTINE;190
2024-01-01;MINISTRY;PALESTINE;190
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;PRESIDENT;PALESTINE;051
2024-01-01;PRESIDENT;PALESTINE;0841
2024-01-01;PRESIDENT;PALESTINE;0841
2024-01-01;THE UN;GAZA;051
2024-01-01;THE UN;GAZA;051
2024-01-01;ISRAEL;ISRAEL;173
2024-01-01;ISRAEL;ISRAEL;164
2024-01-01;ISRAEL;ISRAEL;172
2024-01-01;ISRAEL;MILITARY;060
2024-01-01;ISRAEL;MILITARY;190
2024-01-01;ISRAEL;PALESTINIAN;084
2024-01-01;ISRAEL;PALESTINIAN;0841
2024-01-01;ISRAEL;PALESTINIAN;182
2024-01-01;ISRAEL;PALESTINIAN;190
2024-01-01;ISRAEL;HAMAS;017
2024-01-01;ISRAEL;REFUGEE;190
2024-01-01;ISRAEL;REFUGEE;190
2024-01-01;ISRAEL;REFUGEE;195
2024-01-01;ISRAEL;TURKEY;190
2024-01-01;ISRAEL;ISRAEL;0841
2024-01-01;ISRAEL;PALESTINIAN;0841
2024-01-01;ISRAEL;;051
2024-01-01;ISRAEL;ISRAELI;164
2024-01-01;ISRAEL;ISRAELI;172
2024-01-01;ISRAEL;ISRAEL;051
2024-01-01;ISRAEL;ISRAEL;0841
2024-01-01;ISRAEL;ISRAEL;084
2024-01-01;ISRAEL;PALESTINIAN;084
2024-01-01;ISRAEL;POPULATION;043
2024-01-01;MALAYSIA;ISRAEL;0256
2024-01-01;KUALA LUMPUR;GAZA;0256
2024-01-01;KUALA LUMPUR;GAZA;0256
2024-01-01;KUALA LUMPUR;GAZA;0256
2024-01-01;PROTESTER;ISRAEL;0256
2024-01-01;KARACHI;ISRAEL;141
2024-01-01;KARACHI;ISRAEL;141
2024-01-01;KARACHI;ISRAEL;141
2024-01-01;PALESTINE;;0841
2024-01-01;PALESTINE;;0841
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;GAZA;ISRAEL;072
2024-01-01;GAZA;ISRAEL;072
2024-01-01;GAZA;ISRAEL;075
2024-01-01;GAZA;ISRAEL;075
2024-01-01;PALESTINE;ISRAEL;0841
2024-01-01;PALESTINE;ISRAEL;0841
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;173
2024-01-01;PALESTINE;ISRAEL;173
2024-01-01;GAZA;HAMAS;017
2024-01-01;PALESTINE;;051
2024-01-01;PALESTINE;;051
2024-01-01;MAHMOUD ABBAS;ISRAEL;020
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;051
2024-01-01;PALESTINE;ISRAEL;0841
2024-01-01;PALESTINE;ISRAEL;0841
2023-12-25;TEHRAN;ISRAEL;112
2024-01-01;AFRICA;ISRAEL;1124
2024-01-01;AFRICA;ISRAEL;1124
2024-01-01;AFRICA;ISRAEL;1124
2024-01-01;AFRICA;ISRAEL;1124
2024-01-01;TRADER;ISRAEL;061
2024-01-01;CARGO SHIP;PALESTINE;051
2024-01-01;CARGO SHIP;PALESTINE;051
2024-01-01;CARGO SHIP;PALESTINE;051
2024-01-01;CARGO SHIP;PALESTINE;051
